timestamp,src_ip,dst_ip,protocol,attack_type,severity,confidence,status
2026-01-07 22:39:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42828.3860, threshold: 5.7983)"
2026-01-07 22:39:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42922.4785, threshold: 5.7983)"
2026-01-07 22:39:35,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42828.4490, threshold: 5.7983)"
2026-01-07 22:39:35,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 42827.7866, threshold: 5.7983)"
2026-01-07 22:39:36,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.7262, threshold: 5.7983)"
2026-01-07 22:39:36,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59234.0947, threshold: 5.7983)"
2026-01-07 22:39:36,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59236.1924, threshold: 5.7983)"
2026-01-07 22:39:36,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59234.1245, threshold: 5.7983)"
2026-01-07 22:39:36,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59234.0771, threshold: 5.7983)"
2026-01-07 22:39:37,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.7262, threshold: 5.7983)"
2026-01-07 22:39:37,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59250.8841, threshold: 5.7983)"
2026-01-07 22:39:37,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59237.8868, threshold: 5.7983)"
2026-01-07 22:39:37,35.186.247.105,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.1310, threshold: 5.7983)"
2026-01-07 22:39:37,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 59233.7262, threshold: 5.7983)"
2026-01-07 22:39:42,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 54549.8842, threshold: 5.7983)"
2026-01-07 22:39:42,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 49446.0784, threshold: 5.7983)"
2026-01-07 22:39:42,3.88.247.34,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 54549.2343, threshold: 5.7983)"
2026-01-07 22:39:43,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 54549.8610, threshold: 5.7983)"
2026-01-07 22:39:43,54.90.36.212,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 49445.4371, threshold: 5.7983)"
2026-01-07 22:39:43,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 49446.0671, threshold: 5.7983)"
2026-01-07 22:39:44,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 49446.0672, threshold: 5.7983)"
2026-01-07 22:39:44,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56925.8057, threshold: 5.7983)"
2026-01-07 22:39:45,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56935.5758, threshold: 5.7983)"
2026-01-07 22:39:46,3.95.129.122,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56932.0845, threshold: 5.7983)"
2026-01-07 22:39:46,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56925.7960, threshold: 5.7983)"
2026-01-07 22:39:46,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.6912, threshold: 5.7983)"
2026-01-07 22:39:46,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.0580, threshold: 5.7983)"
2026-01-07 22:39:47,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.6821, threshold: 5.7983)"
2026-01-07 22:39:47,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60821.7301, threshold: 5.7983)"
2026-01-07 22:39:47,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.0488, threshold: 5.7983)"
2026-01-07 22:39:47,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.0488, threshold: 5.7983)"
2026-01-07 22:39:48,34.49.39.67,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 60789.6785, threshold: 5.7983)"
2026-01-07 22:39:50,172.22.177.9,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56940.8358, threshold: 5.7983)"
2026-01-07 22:39:50,3.95.129.122,Anomaly Detected,Blocked,N/A,"K-Means detected anomaly (distance: 56926.3579, threshold: 5.7983)"
